Depth [L],t = 0.025694444,t = 0.060416667,t = 0.097222222,t = 0.129166667,t = 0.157638889
80.80000000000001,3.079469727596234,3.079469720185171,3.079469710478011,3.0794697005124565,3.079469690460977
81.0,2.923687746011231,2.9066490483192067,2.888764614958798,2.873389202683804,2.859796540903364
81.2,2.495738328011245,2.4827625784063545,2.469142761448761,2.4574336784993704,2.4470822414343205
81.4,2.1315393626136707,2.122021319856907,2.1120308370997245,2.103441926256554,2.09584888315791
81.6,2.215121957534964,2.204810349594165,2.1939869128590117,2.184681904421302,2.1764557943751415
81.80000000000001,1.9854890975029569,1.9854890989464744,1.9854890996149137,1.9854890994781074,1.9854890988120344
82.0,1.7944058021739764,1.7880884749721568,1.7814575798116028,1.7757569380626073,1.770717275109904
82.2,1.7210133596296808,1.7153928038557473,1.7094932649464145,1.7044213767089074,1.6999375643162349
82.4,1.4912005700468107,1.4877618642269348,1.4841524739004361,1.4810494474813456,1.4783062110095044
82.6,1.477450594650897,1.474142415069506,1.4706700300818243,1.467684788648802,1.465045680385577
82.80000000000001,1.3524658115438444,1.3524658151986209,1.3524658188138867,1.352465821736335,1.3524658241777014
83.0,1.3065965788269582,1.304910485712189,1.30314070138883,1.3016192014809225,1.3002741166570517
83.2,1.2780656284537886,1.2766504066723148,1.2751649386071833,1.2738878679326189,1.2727588711703957
83.4,1.2629631171385902,1.2616912770496236,1.2603563076130622,1.259208622012522,1.2581940083766499
83.6,1.2427668454838598,1.2416867478038842,1.2405530381903815,1.2395783775621312,1.238716727008953
83.80000000000001,1.2151285665222833,1.215128566530159,1.2151285664532787,1.2151285663156384,1.2151285661391393
84.0,1.1884747921895502,1.1879101415578057,1.1873174638344892,1.1868079333325001,1.1863574819472225
84.2,1.1696217484870692,1.1692360877354224,1.1688312842338753,1.1684832709074806,1.1681756090625317
